keyword,paa_count,error,timestamp
xiaomi smart band 9 bandjes,4,False,2025-07-31 19:43:02.252351
xiaomi smart band 8 bandjes,0,False,2025-07-31 19:43:06.714991
redmi pad se hoesje,0,False,2025-07-31 19:43:09.591783
cover redmi pad se,0,False,2025-07-31 19:43:12.447889
case redmi pad se,0,False,2025-07-31 19:43:18.498454
redmi pad se cover,0,False,2025-07-31 19:43:21.459747
xiaomi redmi pad se case,0,False,2025-07-31 19:43:25.200879
xiaomi redmi pad se hoesje,3,False,2025-07-31 19:43:35.854520
redmi pad pro case,0,False,2025-07-31 19:43:39.400181
cover redmi pad pro,0,False,2025-07-31 19:43:43.917006
xiaomi redmi pad pro case,0,False,2025-07-31 19:43:51.110453
xiaomi redmi pad pro cover,0,False,2025-07-31 19:44:00.290322
redmi pad pro cover,0,False,2025-07-31 19:44:04.203490
xiaomi redmi note 12 cover,0,False,2025-07-31 19:44:09.531122
xiaomi redmi note 12 hoesjes,0,False,2025-07-31 19:44:13.314639
xiaomi redmi note 12 case,3,False,2025-07-31 19:44:21.330578
xiaomi redmi note 12 5g case,0,False,2025-07-31 19:44:25.647738
redmi note 12 hoesje,0,False,2025-07-31 19:44:34.858934
xiaomi redmi note 12 hoesje,0,False,2025-07-31 19:44:39.932589
hoesje xiaomi redmi note 12 pro plus,0,False,2025-07-31 19:44:44.983769
xiaomi redmi note 12 pro plus case,0,False,2025-07-31 19:44:47.211252
case redmi note 12 pro plus,2,False,2025-07-31 19:44:49.891624
redmi note 12 pro plus case,0,False,2025-07-31 19:44:55.870592
redmi note 12 pro plus hoesje,0,False,2025-07-31 19:44:58.539501
xiaomi redmi note 12 pro plus hoesje,3,False,2025-07-31 19:45:01.826355
hoesje redmi note 11s,0,False,2025-07-31 19:45:04.347681
redmi note 11s cover,0,False,2025-07-31 19:45:10.461466
xiaomi redmi note 11s hoesje,3,False,2025-07-31 19:45:13.703092
xiaomi redmi note 11s case,0,False,2025-07-31 19:45:21.611933
redmi note 11s hoesje,2,False,2025-07-31 19:45:25.106195
redmi note 11 pro 5g cover,0,False,2025-07-31 19:45:32.729654
redmi note 11 pro 5g case,0,False,2025-07-31 19:45:39.263245
xiaomi redmi note 11 pro hoesje,0,False,2025-07-31 19:45:43.157338
xiaomi redmi note 11 pro 5g hoesje,0,False,2025-07-31 19:45:55.207594
redmi note 11 pro hoesje,0,False,2025-07-31 19:46:02.342040
redmi note 11 pro 5g hoesje,2,False,2025-07-31 19:46:06.331120
redmi note 11 cover,0,False,2025-07-31 19:46:11.473144
redmi note 11 case,0,False,2025-07-31 19:46:14.448447
xiaomi redmi note 11 hoesje,0,False,2025-07-31 19:46:25.679838
hoesje voor xiaomi redmi note 11,4,False,2025-07-31 19:46:28.542643
telefoonhoesje redmi note 11,3,False,2025-07-31 19:46:31.561790
redmi note 11 hoesje,0,False,2025-07-31 19:46:34.264981
cover redmi note 10s,0,False,2025-07-31 19:46:37.716279
case redmi note 10s,0,False,2025-07-31 19:46:41.029906
hoesje redmi note 10s,0,False,2025-07-31 19:46:47.932669
redmi note 10s case,0,False,2025-07-31 19:46:51.580140
redmi note 10s hoesje,0,False,2025-07-31 19:46:54.769291
xiaomi redmi note 10s hoesje,0,False,2025-07-31 19:47:02.626535
case xiaomi redmi note 10 pro,0,False,2025-07-31 19:47:12.001627
xiaomi redmi note 10 pro hoesjes,4,False,2025-07-31 19:47:14.820314
